row,col,mean_height,std_height,p90_height,foliage_height_diversity,canopy_cover
0,28,0.058003742,0.02236358,0.07476807,1.0114012647128516,0.0
0,29,0.11165772,0.17656313,0.16818818,0.3250809733970037,0.0
0,30,0.95336914,0.6162674,1.7763915,1.5569055681284132,0.5217391304347826
0,31,0.3864113,0.3479614,0.9173828,1.3594887122759023,0.07407407407407407
0,32,0.14346002,0.130952,0.38784167,1.1852171047875557,0.0
0,33,0.08887676,0.036481027,0.13110352,1.512240394651474,0.0
0,34,0.073404945,0.05933958,0.14259033,1.2438267451529794,0.0
0,35,0.34066722,0.25750864,0.67680657,1.3463189705564886,0.03389830508474576
0,36,1.1040219,0.6226307,1.7929688,1.5221178518795246,0.5737704918032787
0,37,1.1024396,0.72746325,1.9923096,1.543253910945473,0.48148148148148145
0,38,0.6205859,0.5963979,1.6521484,1.3280728631093401,0.24
0,39,0.3112826,0.34907818,0.8865965,1.0785270795995463,0.05405405405405406
0,40,0.35982803,0.34006426,0.8394287,0.9413116053444586,0.044444444444444446
0,41,0.74712616,0.5481976,1.551782,1.4199214258635746,0.2711864406779661
0,42,1.1729636,0.715591,2.0604246,1.577515364562836,0.5306122448979592
0,43,0.7331655,0.50879556,1.4027344,1.4560651740979924,0.25287356321839083
0,44,0.24893881,0.30625588,0.7059324,0.852328651372637,0.022727272727272728
0,45,0.150078,0.17953037,0.39737552,0.7707813658910592,0.012195121951219513
0,46,0.09480213,0.06740586,0.17147216,1.2851884452981044,0.0
0,47,0.1848472,0.15629216,0.4120972,1.1608642912099976,0.0
0,48,0.17185558,0.11193402,0.3255979,1.4368462141736935,0.0
0,49,0.15068495,0.10213665,0.2475708,0.9496999439860692,0.0
0,50,0.12101826,0.06989143,0.20043945,1.354741414669271,0.0
0,51,0.10178431,0.095285386,0.19752198,0.992547876172629,0.0
0,52,0.22907715,0.27123713,0.60131836,1.0274818814561477,0.023529411764705882
0,53,0.70798934,0.6214329,1.6329346,1.2593880765240644,0.27906976744186046
0,54,0.734375,0.6459762,1.8176874,1.023664126238194,0.18518518518518517
0,55,0.19388835,0.27337494,0.34538573,0.6420661584349058,0.037037037037037035
0,56,0.17238282,0.1791226,0.42215577,1.0610830729223824,0.0
0,57,0.14266753,0.12012215,0.2668457,1.172160073961572,0.0
0,58,0.116767034,0.09365768,0.21462396,1.0369117577435623,0.0
0,59,0.2557357,0.29011285,0.63897705,0.9161297353578648,0.06578947368421052
0,60,0.50725865,0.4481952,1.1758543,1.350817416547464,0.19402985074626866
0,61,0.49376518,0.36879313,1.0345459,1.298540015721094,0.13636363636363635
0,62,0.25669068,0.18078618,0.50349116,1.3919735012875385,0.0
0,63,0.24369834,0.16176562,0.42634276,1.3176316934599464,0.0
0,64,0.16370739,0.11653516,0.30063477,1.3265697007703914,0.0
0,65,0.10425895,0.07776595,0.20233154,1.367225538240784,0.0
0,66,0.29101738,0.19464467,0.52033687,1.2987452478086483,0.0
0,67,0.52224463,0.42331514,1.051001,1.3576322154136915,0.14035087719298245
0,68,0.6984963,0.54459375,1.5991937,1.4531952859158013,0.24489795918367346
0,69,0.5771532,0.39145648,1.0571289,1.4789481517384921,0.17647058823529413
0,70,0.23201497,0.12630066,0.3897705,1.3548535872689167,0.0
0,71,0.47395465,0.2992339,0.9124756,1.347842965817635,0.07575757575757576
0,72,0.52962315,0.5215245,1.434619,1.1425832386949701,0.18181818181818182
0,73,0.4984597,0.40261373,1.1526122,1.2188024430866002,0.12727272727272726
0,74,0.200295,0.2041643,0.381787,0.8811631589016992,0.016666666666666666
