Period,Index,Mean,Median,Std,Q10,Q90
A,EVI,0.15564358455911315,0.13377038539782937,0.07651293537072051,0.08325740026051887,0.2640924255876169
B,EVI,0.259682438639859,0.22683890643264065,0.20674994611933234,0.09742722526886446,0.4755456196104765
A,NDMI,-0.1542942669951046,-0.17983446207417933,0.10163871070177206,-0.25223188762652404,-0.0168435279120991
B,NDMI,-0.02209968378603817,-0.05741176470588236,0.15656634387416807,-0.20035969407162893,0.21020555591158172
A,MSAVI,0.13629970695728705,0.11989586173815853,0.06496402946510521,0.07143505737104286,0.22548941253391047
B,MSAVI,0.2260266346362102,0.19693753495348748,0.125942641259886,0.0885617744311175,0.41107018936904044
